micros,counts,seconds,volts,amps
324000,-974,0.324,-0.060875,-6.0874999999999995
325201,-622,0.325201,-0.038875,-3.8875
326400,-215,0.3264,-0.0134375,-1.34375
327600,216,0.3276,0.0135,1.35
328800,628,0.3288,0.03925,3.925
330000,932,0.33,0.05825,5.825
331201,1124,0.331201,0.07025,7.025
332400,1146,0.3324,0.07162500000000001,7.1625000000000005
333600,1067,0.3336,0.0666875,6.668749999999999
334800,784,0.3348,0.049,4.9
336000,385,0.336,0.0240625,2.40625
337201,-25,0.337201,-0.0015625,-0.15625
338400,-470,0.3384,-0.029375000000000002,-2.9375
339600,-809,0.3396,-0.0505625,-5.05625
340800,-1066,0.3408,-0.066625,-6.6625000000000005
342000,-1149,0.342,-0.0718125,-7.18125
343201,-1123,0.343201,-0.0701875,-7.01875
344400,-925,0.3444,-0.0578125,-5.78125
345601,-561,0.345601,-0.0350625,-3.5062500000000005
346800,-151,0.3468,-0.0094375,-0.94375
348000,290,0.348,0.018125,1.8124999999999998
349200,681,0.3492,0.0425625,4.2562500000000005
350400,971,0.3504,0.0606875,6.06875
351600,1135,0.3516,0.0709375,7.09375
352800,1142,0.3528,0.07137500000000001,7.137500000000001
354000,1035,0.354,0.0646875,6.468749999999999
355201,725,0.355201,0.0453125,4.53125
356400,323,0.3564,0.0201875,2.0187500000000003
357600,-96,0.3576,-0.006,-0.6
358800,-531,0.3588,-0.0331875,-3.31875
360000,-856,0.36,-0.0535,-5.35
361200,-1095,0.3612,-0.0684375,-6.84375
362400,-1149,0.3624,-0.0718125,-7.18125
363600,-1107,0.3636,-0.0691875,-6.91875
364800,-876,0.3648,-0.05475,-5.475
366000,-497,0.366,-0.0310625,-3.10625
367201,-84,0.367201,-0.00525,-0.525
368400,361,0.3684,0.0225625,2.25625
369600,733,0.3696,0.0458125,4.58125
370800,1012,0.3708,0.06325,6.325
372000,1143,0.372,0.0714375,7.14375
373201,1138,0.373201,0.07112500000000001,7.112500000000001
374400,999,0.3744,0.0624375,6.24375
375600,664,0.3756,0.0415,4.15
376800,257,0.3768,0.0160625,1.60625
378000,-169,0.378,-0.0105625,-1.0562500000000001
379201,-592,0.379201,-0.037,-3.6999999999999997
380400,-901,0.3804,-0.0563125,-5.6312500000000005
381600,-1115,0.3816,-0.0696875,-6.96875
382800,-1148,0.3828,-0.07175000000000001,-7.175000000000001
384000,-1083,0.384,-0.0676875,-6.76875
385201,-822,0.385201,-0.051375000000000004,-5.1375
386400,-430,0.3864,-0.026875,-2.6875
387600,-19,0.3876,-0.0011875,-0.11875
388800,428,0.3888,0.02675,2.675
390000,780,0.39,0.04875,4.875
391201,1047,0.391201,0.0654375,6.543749999999999
392400,1147,0.3924,0.0716875,7.16875
393600,1131,0.3936,0.0706875,7.06875
394800,956,0.3948,0.059750000000000004,5.9750000000000005
396000,601,0.396,0.0375625,3.7562499999999996
397201,190,0.397201,0.011875,1.1875
398400,-242,0.3984,-0.015125,-1.5125
399600,-646,0.3996,-0.040375,-4.0375000000000005
400800,-946,0.4008,-0.059125000000000004,-5.9125000000000005
402000,-1128,0.402,-0.07050000000000001,-7.050000000000001
403201,-1145,0.403201,-0.0715625,-7.15625
404400,-1057,0.4044,-0.0660625,-6.606249999999999
405600,-765,0.4056,-0.0478125,-4.78125
406800,-363,0.4068,-0.0226875,-2.26875
408000,49,0.408,0.0030625,0.30625
409200,491,0.4092,0.0306875,3.06875
410400,825,0.4104,0.051562500000000004,5.15625
411600,1078,0.4116,0.067375,6.737500000000001
412800,1148,0.4128,0.07175000000000001,7.175000000000001
414000,1119,0.414,0.0699375,6.99375
415201,909,0.415201,0.0568125,5.68125
416400,538,0.4164,0.033625,3.3625000000000003
417600,125,0.4176,0.0078125,0.78125
418800,-315,0.4188,-0.0196875,-1.96875
420000,-699,0.42,-0.043687500000000004,-4.36875
421201,-989,0.421201,-0.0618125,-6.18125
422400,-1139,0.4224,-0.0711875,-7.11875
423600,-1142,0.4236,-0.07137500000000001,-7.137500000000001
424800,-1024,0.4248,-0.064,-6.4
426000,-704,0.426,-0.044,-4.3999999999999995
427201,-300,0.427201,-0.01875,-1.875
428400,554,0.4284,0.034625,3.4625000000000004
429600,873,0.4296,0.0545625,5.45625
430800,1102,0.4308,0.068875,6.8875
